country,1100,1102,1103,1104,1105,1106,1108,1109,1110,1111,1202,1203,1204,1206,1207,1208,1210,1211,1213,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1402,1404,1405,1406,1407,1408,1502,1503,1504,1506,1507,1508,1602,1603,1604,1605,1606,1607,1702,1703,1704,1705,1706,1707,1708,1710,1711,1712,1800,1802,1803,1804,1902,1904,1906,1907,1908,1910,1911,2000,2002,2003,2100,2102,2103,2105,2200,2202,2203,2204,2205,2206,2207,2208,2209,2210,2211,2212,2213,2214,2215,2216,2302,2303,2304,2305,2306,2307,2308,2309,2310,2311,2312,2403,2404,2405,2406,2500,2502,2503,2504,2505,2506,2507,2508,2602,2604,2607,2608,2610,2611,2612,2613,2614,2702,2703,2704,2705,2706,2707,2708,2711,2712,2713,2715,2716,2717,2720,2721,2723,2724,2725,2726,2727,2728,2729,2730,2731,2732,2733,2734,2735,2736,2737,2738,2739,2740,2741,2742,2743,2745,2746,2748,2802,2803,2804,2805,2806,2807,2808,2809,2911,2916,3003,3004,3005,3103,3104,3105,3106,3107,3108,3109,3200,3202,3203,3204,3205,3207,3302,3303,3304,3305,3306,3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3320,3321,3322,3402,3404,3504,3505,3506,3600,3604,3605,3609,3611,3612,3614,3616
MZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NG,,1.0,,,1.0,3.0,,2.0,4.0,1.0,,,,,,,,,,,,,,,1.0,,,,3.0,1.0,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
NL,,,,,2.0,1.0,,1.0,6.0,,,1.0,,,1.0,1.0,,,,,4.0,1.0,,,5.0,,,,3.0,37.0,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,1.0,6.0,,7.0,4.0,5.0,,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,,4.0,1.0,,,2.0,,,,,3.0,,2.0,,5.0,1.0,4.0,2.0,7.0,,6.0,6.0,10.0,,,,,,3.0,,,1.0,,,,,,,,,,,1.0,1.0,2.0,3.0,5.0,,2.0,1.0,1.0,3.0,,,2.0,,2.0,1.0,,,,,1.0,,,,1.0,3.0,3.0,1.0,1.0,,,,1.0,,1.0,,2.0,,,3.0,,,,1.0,,1.0,2.0,,2.0,1.0,2.0,,2.0,,1.0,,1.0,,2.0,4.0,,,1.0,,,2.0,,,,7.0,2.0,,7.0,14.0,3.0,2.0,,,1.0,,1.0,1.0,,,3.0,,,,,,,3.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,
NO,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,2.0,,6.0,1.0,2.0,,,,,,,,,,,,,1.0,,,1.0,6.0,,,,1.0,,,,,1.0,,,,2.0,3.0,1.0,1.0,1.0,,,1.0,5.0,,,,,,4.0,1.0,,,,,,1.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,4.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,2.0,1.0,1.0,,,,1.0,,4.0,,,,5.0,,,,1.0,1.0,,,,,,3.0,1.0,,6.0,5.0,,1.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZ,,,,,1.0,,,,4.0,,,,,,,,,,,,1.0,,,,1.0,,,,3.0,4.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,3.0,,,1.0,1.0,1.0,1.0,,2.0,,,,,1.0,,1.0,,,3.0,,2.0,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,,,2.0,,,1.0,,,,,,,,,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,1.0,,,3.0,,1.0,,,,,,1.0,,,,1.0,3.0,,,,,,,,,,4.0,,,,1.0,,,,1.0,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,
PA,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
PH,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
PK,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,1.0,,,4.0,,,,,,,2.0,,,,1.0,,,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PL,,,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,2.0,7.0,,,,,,,,,,,,,,1.0,,,,1.0,8.0,,4.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,3.0,,,,,,,,,,1.0,,4.0,,1.0,,7.0,1.0,4.0,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,2.0,,,,,1.0,1.0,3.0,6.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,2.0,,,,,,,,,,,1.0,1.0,1.0,,3.0,6.0,,8.0,17.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
PR,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
PT,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,6.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
RS,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,2.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,1.0,,2.0,2.0,,,,3.0,19.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,1.0,18.0,1.0,6.0,2.0,,,,,,,,,,,,,,1.0,,,,4.0,,,,,,,,,,,8.0,,3.0,4.0,9.0,1.0,13.0,,10.0,7.0,1.0,,,,,,1.0,1.0,,,,,,,2.0,,,,,,2.0,1.0,3.0,5.0,13.0,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,3.0,,,,3.0,,,,,,,,,6.0,,,,,,,2.0,1.0,,,10.0,5.0,1.0,17.0,8.0,3.0,3.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
SD,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE,,1.0,7.0,,1.0,,,,4.0,,,,,,1.0,,,,,,1.0,,1.0,1.0,3.0,1.0,,,4.0,22.0,,,,,,,,,,,1.0,,,,,1.0,2.0,2.0,4.0,3.0,5.0,,1.0,,,,1.0,,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,2.0,,1.0,,,1.0,,,,1.0,,2.0,,3.0,,3.0,3.0,2.0,,3.0,5.0,,,,,,,3.0,,1.0,,2.0,,,,,,4.0,,1.0,,,,1.0,,7.0,,3.0,5.0,,3.0,,,1.0,,1.0,2.0,,1.0,,,2.0,,,,1.0,7.0,4.0,,2.0,,1.0,,2.0,,,,1.0,,,13.0,1.0,,,3.0,1.0,2.0,11.0,1.0,1.0,7.0,3.0,,3.0,1.0,8.0,,,,8.0,1.0,,,1.0,1.0,,4.0,,,1.0,5.0,2.0,,16.0,15.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0
SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,2.0,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
SK,1.0,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,2.0,7.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,3.0,,,,,,,,,,,,,1.0,,,,2.0,3.0,,,1.0,,,,,,,1.0,,1.0,,1.0,,2.0,,2.0,,1.0,,1.0,,,,2.0,1.0,,,,,,,,1.0,,,,,,,1.0,3.0,4.0,,,,,1.0,,,4.0,,2.0,1.0,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,,3.0,,,,,,,,,,,1.0,,,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
SL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SY,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,,3.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,3.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TZ,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,5.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,2.0,,,,,,3.0,,,,,5.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,4.0,9.0,20.0,6.0,25.0,13.0,1.0,19.0,55.0,6.0,2.0,6.0,7.0,2.0,4.0,5.0,,1.0,1.0,3.0,11.0,16.0,17.0,17.0,46.0,10.0,1.0,3.0,67.0,243.0,1.0,3.0,1.0,,10.0,3.0,1.0,3.0,6.0,2.0,6.0,,1.0,14.0,1.0,6.0,3.0,26.0,84.0,14.0,73.0,48.0,52.0,2.0,4.0,1.0,8.0,6.0,2.0,5.0,2.0,5.0,3.0,7.0,6.0,44.0,17.0,7.0,8.0,53.0,18.0,15.0,7.0,35.0,6.0,1.0,,1.0,10.0,1.0,60.0,11.0,75.0,51.0,60.0,31.0,86.0,8.0,81.0,60.0,17.0,7.0,5.0,6.0,2.0,1.0,43.0,12.0,6.0,16.0,17.0,3.0,6.0,4.0,8.0,7.0,33.0,8.0,5.0,1.0,5.0,20.0,11.0,28.0,105.0,2.0,14.0,14.0,16.0,30.0,12.0,24.0,29.0,2.0,16.0,28.0,1.0,1.0,4.0,3.0,35.0,,2.0,2.0,6.0,44.0,61.0,3.0,21.0,1.0,21.0,2.0,5.0,1.0,10.0,,12.0,7.0,5.0,43.0,7.0,3.0,4.0,16.0,23.0,23.0,47.0,13.0,33.0,36.0,32.0,,11.0,17.0,57.0,1.0,1.0,1.0,40.0,30.0,2.0,4.0,14.0,5.0,1.0,18.0,7.0,10.0,6.0,102.0,44.0,1.0,121.0,149.0,23.0,19.0,3.0,6.0,24.0,16.0,16.0,32.0,,2.0,23.0,1.0,2.0,1.0,2.0,3.0,1.0,34.0,3.0,5.0,,1.0,3.0,5.0,13.0,2.0,4.0,,8.0,4.0,2.0,8.0,17.0,3.0,2.0,,2.0,3.0,1.0,8.0
UY,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
